candidate_id,channel_name,url,正確
TW001,Onion Man,https://www.youtube.com/@onion_man,O
TW002,喪屍老爸,https://www.youtube.com/@walkerdad,O
TW003,見習網美小吳,https://www.youtube.com/@beautywu,O
TW004,阿翰po影片,https://www.youtube.com/@hanhanpovideo,O
TW005,反正我很閒,https://youtube.com/channel/UCzjNxGvrqfxL9KGkObbzrmg?si=SeLM1zW88nkFb1PT,O
TW006,哈哈台,https://www.youtube.com/@Hahatai,O
TW007,上班不要看 NSFW,https://www.youtube.com/@nsfwstudio,O
TW008,滴妹,https://www.youtube.com/@crowndu,O
TW009,愛莉莎莎 Alisasa,https://www.youtube.com/@alisasa_official,O
TW010,菜喳,https://youtube.com/channel/UCSckEwXBJmJEUzIo6NplQ5g?si=hwEdWRG5TW19UyWJ,O
TW011,魚乾,https://www.youtube.com/@annie72127,O
TW012,安啾咪,https://www.youtube.com/@anjouclever103,O
TW013,老皮,https://www.youtube.com/@tolocat,O
TW014,放火 Louis,https://www.youtube.com/@louislee0602,O
TW015,sandy mandy,https://www.youtube.com/@sandymandy_official,O
TW016,This is Catie,https://www.youtube.com/@HelloCatie,O
TW017,劉芒,https://www.youtube.com/@lioumonn,O
TW018,黃小米Mii,https://www.youtube.com/@miihuang711,O
TW019,古娃娃WawaKu,https://www.youtube.com/@WawaKu,O
TW020,詹姆士姆士流官方專屬頻道,https://www.youtube.com/@chef_james_tw,O
TW021,阿慶師,https://www.youtube.com/@achingchef,O
TW022,夢幻廚房在我家,https://www.youtube.com/@dreamchefhome,O
TW023,柴米夫妻,無此頻道(刪除),X
TW024,欸你這週要幹嘛,https://www.youtube.com/@happyariel,O
TW025,金魚腦,https://www.youtube.com/@goldfishbrain,O
TW026,吳鳳 Rifat,https://www.youtube.com/@Rifat,O
TW027,Blaire Chen,https://www.youtube.com/@blairechen_,O
TW028,小象愛出門,https://www.youtube.com/@elephantgogo,O
TW029,Taiwan Bar,https://www.youtube.com/@TaiwanBar,O
TW030,理科太太,https://www.youtube.com/@liketaitai,O
TW031,PanSci 泛科學,https://www.youtube.com/@PanScitw,O
TW032,報導者 The Reporter,https://www.youtube.com/@TwreporterOrg,O
TW033,百靈果News,https://www.youtube.com/@bailingguo,O
TW034,敏迪選讀,https://www.youtube.com/@mindiworldnews,O
TW035,法律白話文運動,https://www.youtube.com/@plainlaw_me,O
TW036,股癌 Gooaye,https://www.youtube.com/@Gooaye,O
TW037,柴鼠兄弟,https://youtube.com/@zrbro?si=dZbaznNhH66q7hfX,O
TW038,王伯達觀點,無此頻道,X
TW039,電獺少女,https://www.youtube.com/@aottergirls,O
TW040,科技狗 3C Dog,https://www.youtube.com/@3cdogs,O
TW041,3cTim哥生活的日常,https://www.youtube.com/@3ctim,O
TW042,小施汽車生活頻道,https://www.youtube.com/@sscarlife,O
TW043,SiCAR 愛車酷,https://youtube.com/channel/UCD76jE_-uOSeyC2q8jX7pVQ?si=ioIhAZvU1Dz0MSFC,O
TW044,小老婆汽機車資訊網,https://www.youtube.com/@JorsindoMotorClub,O
TW045,Superpie 超級派,無此頻道,X
TW046,蒼藍鴿的醫學天地,https://www.youtube.com/@bluepigeon0810,O
TW047,營養師 Ricky's Time,https://www.youtube.com/@RickysTime,O
TW048,營養師品瑄,https://www.youtube.com/@dietitian_pink,O
TW049,好味小姐 Lady Flavor,https://www.youtube.com/@LadyFlavor,O
TW050,好味小姐腦波弱,https://www.youtube.com/@ladyflavor_brain,O
TW051,錫蘭Ceylan,https://www.youtube.com/@xilanceylan,O